cust_id,lmt_id,credit_etldt,credit_actual_dt,credit_mat_dt,credit_lmt,credit_term
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20191223,20190716,20200101,5000,168
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20190910,20190716,20200101,3750,168
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20190819,20190716,20200101,3750,168
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20190917,20190716,20200101,3750,168
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20200323,20190716,20300101,5000,3821
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20190716,20190716,20200101,3750,168
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20190722,20190716,20200101,3750,168
jd_7a873fc6b5382,jd_7a873fc6b5382_03,20190804,20190716,20200101,3750,168
jd_42c9898765a0e,jd_42c9898765a0e_03,20191206,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191021,20180731,20200101,42500,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191127,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191109,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20200223,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20191204,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191207,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20200104,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20191004,20180731,20200101,42500,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191006,20180731,20200101,42500,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191110,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20200331,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20191209,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20200304,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20200324,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20200323,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20200109,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20191104,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191114,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191023,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20200204,20180731,20300101,43250,4171
jd_42c9898765a0e,jd_42c9898765a0e_03,20191202,20180731,20200101,43250,518
jd_42c9898765a0e,jd_42c9898765a0e_03,20191008,20180731,20200101,42500,518
jd_790605f2d94a8,jd_790605f2d94a8_03,20191102,20181103,20200101,21250,423
jd_790605f2d94a8,jd_790605f2d94a8_03,20191108,20181103,20200101,21250,423
jd_790605f2d94a8,jd_790605f2d94a8_03,20191029,20181103,20200101,21250,423
jd_790605f2d94a8,jd_790605f2d94a8_03,20191130,20181103,20200101,21250,423
jd_790605f2d94a8,jd_790605f2d94a8_03,20191202,20181103,20200101,21250,423
jd_6c2bd4c5bbc8e,jd_6c2bd4c5bbc8e_03,20191203,20190607,20200101,22500,207
jd_6c2bd4c5bbc8e,jd_6c2bd4c5bbc8e_03,20191208,20190607,20200101,22500,207
jd_6c2bd4c5bbc8e,jd_6c2bd4c5bbc8e_03,20200114,20190607,20300101,22500,3860
jd_6c2bd4c5bbc8e,jd_6c2bd4c5bbc8e_03,20200304,20190607,20300101,22500,3860
jd_6c2bd4c5bbc8e,jd_6c2bd4c5bbc8e_03,20200324,20190607,20300101,22500,3860
jd_6c2bd4c5bbc8e,jd_6c2bd4c5bbc8e_03,20200214,20190607,20300101,22500,3860
jd_6c2bd4c5bbc8e,jd_6c2bd4c5bbc8e_03,20200224,20190607,20300101,22500,3860
