cust_id,apply_amount,apply_dateDT
13822080661_p,8250.0,36
18996920906_p,14375.0,176
227144673-139981,18750.0,208
250650242qianyong,14273.75,89
81512449-94361541,18750.0,56
aaadffg,17500.0,198
ck45522015,4375.0,202
jd_428117ae550c9,15000.0,183
jd_4ca66fa55434e,7250.0,241
jd_536f86d5ec705,8750.0,241
jd_55162d28b3836,5000.0,361
jd_5a90a8fdb3f08,37500.0,210
jd_671b56cc93ba1,8145.0,71
jd_6a2c44313495d,10000.0,33
jd_6c2bd4c5bbc8e,18750.0,238
jd_6cc5239776a52,12750.0,33
jd_707468302c883,4000.0,237
jd_7187198acad52,7625.0,245
jd_790605f2d94a8,21250.0,238
jd_7e5d1578fe659,25000.0,173
jd_YCdlgRlbRZSW,18750.0,248
linsi520,32500.0,35
wdGkCMnwINdkDD,11151.25,75
wdnSQAgzQjnQql,11250.0,249
wdqOMcNSmEtEPe,8750.0,237
zhejiushiwo5158,7978.75,72
太平洋的小鱼儿,18750.0,56
烟与女人,6250.0,27
000738A,11500.0,118
1048035970_m,15000.0,238
1055080877_m,18750.0,65
107035926_m,8125.0,242
1215655886-894855,21250.0,119
1301491488_m,26250.0,30
13017228051_p,7500.0,31
13043637999a,6250.0,34
13104519482_p,75000.0,181
13150414999_p,7500.0,28
13323103082_p,6250.0,206
13352777456_p,56250.0,35
13425163562_p,12875.0,259
13426187673_p,54375.0,29
13529300324_p,7500.0,118
13531985863_p,25000.0,241
13543282457_p,8471.25,71
13543588366_p,8750.0,224
13591082696_p,55000.0,56
136152867_m,28750.0,34
13620890298_p,3750.0,216
13641688100_p,30000.0,118
13650377103_p,8750.0,29
13654090583_p,11250.0,33
13666764915_p,97500.0,210
13669594999_p,14997.5,84
13672935011_p,26250.0,119
13676976166_p,8750.0,170
13681618239_p,24500.0,119
13687840948_p,12500.0,104
13764131851_p,9625.0,30
13772056595_p,30000.0,248
13773729225_p,26250.0,40
13798777131_p,37500.0,28
13798868163_p,26250.0,119
13818135383_p,41250.0,117
13820560979_p,48750.0,120
13822729569_p,6693.75,87
13823401303_p,15000.0,36
13844672931_p,61250.0,120
13861239061_p,10125.0,40
13871477653_p,16250.0,57
13911362169_p,40500.0,258
13953788938a,43750.0,232
13990340478_p,35000.0,232
13998073134_p,13750.0,178
1429656-56082280,26250.0,33
147593724-223573,11500.0,242
14787374980_p,12250.0,236
15017913108_p,22500.0,28
15022661361,21250.0,119
15038566143_p,14011.25,203
15046656463_p,6250.0,36
15109856216_p,3750.0,242
15116441113_p,7500.0,101
15130805021_p,21250.0,65
15172517715_p,41250.0,35
15180590043_p,5000.0,239
15189119344_p,12205.0,82
15208687887_p,45000.0,300
15313199121_p,18750.0,39
15358082888_p,81250.0,212
1555189075-573537,11500.0,82
15566686061_p,20000.0,187
15827455319_p,8221.25,83
15828228806_p,3750.0,126
15843929012_p,30000.0,207
15862664781_prz,55000.0,119
15900659111_p,43750.0,31
15903399135_p,31250.0,119
15916286479_p,4962.5,68
15948624777_p,5012.5,69
15961422293_p,23125.0,230
159729898-353861,40000.0,230
15981596895_p,8750.0,30
15982366095_p,14000.0,229
17215311-78760582,36250.0,35
176363674_m,12500.0,208
18002762378_p,35000.0,56
18205998855_p,24750.0,211
182189378-749526,26250.0,120
18279121292_p,3750.0,239
18301444296_p,10000.0,65
18319822099_p,12500.0,232
18380410652_p,12500.0,117
18392628366_p,10125.0,232
18602109375_p,16750.0,257
18603579394,37500.0,117
18608962226_p,13750.0,39
18665063373_p,43750.0,34
