cust_id,credit_actual_dt,credit_mat_dt,credit_lmt,credit_term,to_credit_lmt,to_credit_term
jd_7a873fc6b5382,136,3958,5000.0,3821,4062.5,624.625
jd_42c9898765a0e,-214,3958,43250.0,4171,43119.565217391304,1788.608695652174
jd_790605f2d94a8,-119,305,21250.0,423,21250.0,423.0
jd_6c2bd4c5bbc8e,97,3958,22500.0,3860,22500.0,2816.285714285714
jd_43add72b02e5e,-74,305,7500.0,378,7500.0,378.0
jd_5cd62c246ffa4,-28,3958,6250.0,3985,6250.0,1793.2
kent818_m,-577,3958,65625.0,4534,65625.0,3316.3333333333335
jd_4f3fae81e8fd1,-289,305,35000.0,593,35000.0,593.0
jd_4325f79db11ca,302,3958,20000.0,3655,20000.0,3655.0
jd_418dba326454f,118,305,7500.0,186,7500.0,186.0
jd_67d9b36506262,-10,305,10000.0,314,10000.0,314.0
jd_434d28d5e97d5,-907,305,46250.0,1211,46250.0,1211.0
jd_7ac53dc4e7faa,-631,3958,46875.0,4588,43750.0,3857.4
jd_7f6249609d575,-732,305,42000.0,1036,41850.0,1036.0
jd_4322c13af9462,266,3958,8750.0,3691,8750.0,3691.0
18602109375_p,256,305,6250.0,48,6250.0,48.0
jd_64aa369e431fc,171,3958,6125.0,3786,6125.0,1594.2
jd_7ef89a06c0b47,-306,3958,47250.0,4263,42312.5,2436.5
jd_7c5ae9d452e71,81,3958,20500.0,3876,18589.285714285714,2310.4285714285716
jd_64e31358cd3de,171,305,7500.0,133,7500.0,133.0
tcy414,222,305,7500.0,82,7500.0,82.0
jd_60aea42328da3,258,305,15000.0,46,15000.0,46.0
jd_6d97f71b801a4,-305,3958,30000.0,4262,26875.0,2435.5
林生8,-788,3958,63250.0,4745,63203.125,3146.8125
jd_6eb3fde447732,-561,305,50000.0,865,50000.0,865.0
wdEgcgAdbAQybb,-218,3958,15000.0,4175,13906.25,704.65
jd_4460b10c735b3,37,3958,10000.0,3920,7666.666666666667,510.53333333333336
毛毛19890826,-1,3958,13875.0,3958,11616.07142857143,1348.7142857142858
wdpsraLVNUlHJo,-124,305,22000.0,428,22000.0,428.0
vodas,-902,3958,21250.0,4859,21250.0,2925.0588235294117
jd_64e1bd419a3fb,-54,3958,23375.0,4011,14901.315789473685,934.7894736842105
13818135383_p,-634,3958,41250.0,4591,41250.0,2155.6666666666665
jd_577d2eb46f6bb,-302,3958,18750.0,4259,18750.0,2432.5
jd_79806ab454d62,-730,3958,31875.0,4687,31875.0,4687.0
13426187673_p,-261,3958,54375.0,4218,54375.0,2391.5
一个老钟医,-270,3958,23000.0,4227,23000.0,1487.25
jd_769887dfb94a9,-341,3958,50000.0,4298,50000.0,1329.9375
jd_6ba399797db12,158,3958,15000.0,3799,15000.0,3799.0
jd_5e8d2da2f3c6e,-413,3958,13750.0,4370,13750.0,1238.857142857143
ohyhe,205,3958,50750.0,3752,50375.0,3143.1666666666665
lxdjd2016,91,3958,10500.0,3866,10500.0,2039.5
jd_52b7ca7c05ce5,-61,305,18250.0,365,18250.0,365.0
jd_5cb0a593ebf0c,54,3958,7500.0,3903,6750.0,1711.2
ldy841119,240,305,13750.0,64,13750.0,64.0
我是华2014,212,3958,31250.0,3745,31250.0,3080.818181818182
wdGyYUSwiHDvBK,177,3958,7875.0,3780,7875.0,1953.5
jd_59db53126da44,-61,305,17500.0,365,17500.0,365.0
jd_4ac47b86fc63c,-420,305,13750.0,724,13750.0,724.0
jd_7e818581bb1db,-63,305,19500.0,367,15750.0,367.0
jd_5b69442fe7569,-17,305,15000.0,321,10766.129032258064,321.0
jd_6b8afaacd981b,-396,3958,37375.0,4353,31200.0,2161.2
jd_74f3a7c84476f,249,305,6250.0,55,6250.0,55.0
jd_571589fa4a7b4,26,305,18750.0,278,18750.0,278.0
wdNsWpwsYOmuZGS,286,305,11250.0,18,11250.0,18.0
jd_53fa662e13994,212,3958,31250.0,3745,31250.0,3745.0
plp19690909,307,3958,6250.0,3650,6250.0,3650.0
jd_4abfa3dc6fe83,-557,3958,38750.0,4514,38750.0,2322.2
jd_65dcd604fbc90,162,3958,6750.0,3795,6750.0,1968.5
jd_6600249590854,-432,3958,26250.0,4389,26250.0,1649.25
jd_6b8d08116f3f9,61,305,20875.0,243,20000.0,243.0
13104519482_p,180,3958,75000.0,3777,75000.0,1037.25
pz79697009,-125,3958,62500.0,4082,62500.0,1994.5714285714287
jd_49bbb5e9c05ca,-596,305,12750.0,900,11750.0,900.0
jd_59ae793e68257,138,3958,12375.0,3819,9250.0,622.625
jd_69016d5d3f8e4,-204,305,26750.0,508,26750.0,508.0
jd_5c5814c3c9b49,-411,305,8750.0,715,8750.0,715.0
18804380710_p,196,3958,6750.0,3761,6750.0,1021.25
jd_78d1b9a313319,-38,3958,17000.0,3995,17000.0,1559.6666666666667
jd_4795f4e70d247,66,3958,49500.0,3891,47416.666666666664,2673.3333333333335
tgtgtgtg12,-950,3958,45000.0,4907,41250.0,3080.5
jd_65ec6e870180b,157,305,7500.0,147,7500.0,147.0
15543152655_p,-404,305,15250.0,708,9062.5,708.0
chen2217669,-457,3958,73750.0,4414,73750.0,2587.5
jd_47745bfaef003,186,305,6750.0,118,6750.0,118.0
心蓝秀泽,-981,3958,39750.0,4938,39750.0,3533.0
我来了1108,-437,305,37500.0,741,37500.0,741.0
jd_55acad5f2f35b,130,3958,11250.0,3827,11250.0,1391.6666666666667
jd_7f24d5fa77e75,-464,3958,15000.0,4421,15000.0,2594.5
jd_7c1e2d5ad4b60,-158,3958,26250.0,4115,23727.272727272728,1790.3636363636363
jd_5c5fc210ab286,-430,3958,60750.0,4387,60315.78947368421,1695.3157894736842
jd_78cb8604c7a2e,228,3958,8750.0,3729,6750.0,2267.8
jd_651a56dcce8e0,176,3958,6750.0,3781,6750.0,1954.5
chensir19941104,-244,3958,47625.0,4201,37562.5,2374.5
jd_65e44ce4a0a9e,-177,3958,23875.0,4134,21091.666666666668,1698.6666666666667
wdNFMnccjLNeyuH,-63,3958,53125.0,4020,48053.57142857143,1410.7142857142858
jd_4f37395523c51,317,3958,7500.0,3640,7500.0,3640.0
wdbYTzcBqEqbrM,176,3958,6125.0,3781,6125.0,1589.2
小奏立华奏,318,3958,17500.0,3639,17500.0,3639.0
jd_5d5963bd6246f,-29,305,11375.0,333,11375.0,333.0
jd_5fc09063c46e8,-706,305,45000.0,1010,45000.0,1010.0
jd_4f32a6804e27f,234,3958,15000.0,3723,15000.0,2505.3333333333335
jd_665725da058cd,-680,3958,18875.0,4637,18350.0,3175.8
jd_woPdtiZaSPiH,230,3958,5000.0,3727,5000.0,1291.6666666666667
tiananlv,-44,3958,21250.0,4001,18437.5,2174.5
jd_5ddc02b18b0f5,-11,3958,20750.0,3968,20317.30769230769,1298.5
jd_419e59d57c09a,6,305,11375.0,298,11375.0,298.0
jd_4457d7e4df05a,-226,3958,21250.0,4183,21250.0,3139.285714285714
jd_728085e85c84a,158,3958,6125.0,3799,6125.0,1972.5
费强4230,8,3958,43750.0,3949,35416.666666666664,783.0666666666667
jd_7df8f3ae82c0a,265,3958,7500.0,3692,7500.0,3692.0
jd_7609044cc1876,-628,305,18750.0,932,18750.0,932.0
jd_4103bd3b8d942,-305,305,21250.0,609,18750.0,609.0
jd_530deadf5067b,207,3958,8750.0,3750,8750.0,1314.6666666666667
jd_68ce316c03349,242,3958,13750.0,3715,13750.0,2253.8
高月16,-178,305,37500.0,482,37500.0,482.0
jd_711b0f2beb877,99,305,7500.0,205,7500.0,205.0
jd_5cbbf2910841a,33,3958,6250.0,3924,6250.0,2462.8
我的家在哪里2014,-64,305,12500.0,368,12500.0,368.0
jd_69d765c5a0529,143,3958,25000.0,3814,25000.0,1256.9
jd_4fe3751a9b2ad,-378,3958,56000.0,4335,56000.0,4335.0
我俄日872,212,3958,6000.0,3745,5178.571428571428,1657.5714285714287
jd_76b9504a07eb8,289,3958,7500.0,3668,7500.0,3668.0
sclslr,125,305,41250.0,179,27916.666666666668,179.0
lp96701_m,-314,3958,28000.0,4271,24000.0,2444.5
jd_41f0662581e55,53,3958,11625.0,3904,9925.0,981.6
94486321-949511,150,3958,16250.0,3807,12000.0,1980.5
18605693781_p,-557,3958,18000.0,4514,18000.0,4514.0
dudumaoer,103,305,22750.0,201,22750.0,201.0
15870508050_p,-553,3958,35000.0,4510,34375.0,1085.3125
jd_woUXUhjwYkIw,268,305,3750.0,36,3750.0,36.0
15986318461_p,81,3958,21625.0,3876,21625.0,2752.0
jd_677e29f7c5a13,-154,3958,6250.0,4111,6250.0,2284.5
a467364828,-388,305,27000.0,692,27000.0,692.0
jd_4fcd27c5ba472,-123,3958,20000.0,4080,18333.333333333332,2862.3333333333335
jd_6a2784937e1f7,-31,3958,24375.0,3988,23437.5,2770.3333333333335
jd_56fa05da311de,157,305,10000.0,147,9250.0,147.0
jd_630894ba902a7,1,305,17500.0,303,17500.0,303.0
sheenaringo17,145,305,7500.0,159,7500.0,159.0
jd_732b1784acb73,230,305,17500.0,74,17500.0,74.0
770711631,-66,305,30750.0,370,26083.333333333332,370.0
jd_40f9e1bc07f14,245,305,5000.0,59,5000.0,59.0
jd_413cf42ab7e1e,284,3958,6250.0,3673,6250.0,3673.0
ding_j,-164,305,24375.0,468,21562.5,468.0
ZHU438759383,-639,305,32750.0,943,32750.0,943.0
asa121130,137,305,25000.0,167,25000.0,167.0
jd_617cd6cf134b6,-78,3958,6500.0,4035,6500.0,3121.75
jd_65a5b4320a9e3,-205,3958,23250.0,4162,23250.0,2944.3333333333335
JD4129803,-104,3958,52875.0,4061,50671.875,2919.4375
jd_762f80b4a6d44,-681,3958,18750.0,4638,18750.0,3420.3333333333335
wdCULTjcVMqueK,-122,3958,13750.0,4079,13750.0,2252.5
wslm1218,-699,305,36250.0,1003,36250.0,1003.0
13420956435_p,243,305,30000.0,61,30000.0,61.0
jd_4748973b108de,244,305,35000.0,60,35000.0,60.0
wdbaDxEeISeIAD,-211,305,23500.0,515,23500.0,515.0
