cust_id,typeCT,debt
jd_796150aca2f29,0,0.0
王亚茹0213,0,0.0
佳晨艳阳123,0,0.0
jd_5866d053feddf,0,0.0
jd_77db17796105d,0,0.0
jd_52e8113ad720e,0,0.0
jd_4d5d25b6fbb6d,0,0.0
jd_549a13c3331b8,0,0.0
和耕家园窗帘,0,0.0
jd_5f6358dd64830,0,0.0
jd_60fe1a8017f4c,0,0.0
jd_43db6826d1f00,0,0.0
池子一,0,0.0
jd_6518b738257df,1,0.0
jd_50a84c1d425b1,0,0.0
dmbaby0604,0,0.0
jd_74cd0f875ffb2,0,0.0
jd_6494668e74c17,1,0.0
jd_4322c13af9462,0,0.0
jd_6a685fc8d1a74,0,0.0
yunyanguo,0,0.0
jd_6ac29edb8ee17,0,0.0
jd_423dbbd126846,4,-8074.0
jd_7d7750dbf1528,0,0.0
colemankk,0,0.0
13682473295_p,0,0.0
jd_6c68ea3033a85,0,0.0
jd_4233fe3f74032,0,0.0
jd_6e107b1b39d3a,0,0.0
jd_67f57926f4e01,0,0.0
jd_5c29e92d9e8f3,0,0.0
yhazll1314,0,0.0
yueminhou,0,0.0
13751851267_p,0,0.0
jd_46f0a35d36031,0,0.0
jd_62f857bb3daca,0,0.0
u_6869888ae5126,0,0.0
jd_539d2ce5e4986,0,0.0
jd_6adc6f1e3bad2,0,0.0
zengya8838,0,0.0
jd_595836161a911,0,0.0
jd_69ee35a91a7dd,0,0.0
jd_4e6198098883e,0,0.0
jd_5f2d5aa1492bf,0,0.0
jd_483e2dcd9ab81,0,0.0
334430833-412213,0,0.0
15135906242_p,0,0.0
jd_790c33793a018,0,0.0
jd_4e5a53e8b3b14,0,0.0
小强强哟,0,0.0
13773995459_p,0,0.0
jd_71903d0fe18c5,0,0.0
空城太空,0,0.0
毛毛19890826,0,0.0
jd_737055a437057,0,0.0
z389738579,0,0.0
jd_619207365d13a,0,0.0
jd_4079173e4839b,0,0.0
jd_440507643b4c6,0,0.0
jd_52fa203fc7348,0,0.0
jd_59348804aa02e,0,0.0
jd_4e9aeb2f34b94,0,0.0
jd_75d5f5ab90e90,0,0.0
jd_7baa2a4757dfc,0,0.0
jd_71cc56f1d91aa,0,0.0
谁道破愁需仗酒,0,0.0
18576004975_p,6,0.0
jd_797cc1014eb6d,1,0.0
jd_6199f36ab7431,0,0.0
jd_625c8a6d700d8,0,0.0
甜蜜的草莓干,0,0.0
jd_472d45bd04c54,0,0.0
wdpoKCoUIHtZas,0,0.0
jd_564248e521048,0,0.0
jd_4c138e55d8594,0,0.0
fsdge,0,0.0
jd_737b8e12bad3a,0,0.0
龙吉803,0,0.0
127565629-921322,0,0.0
jd_737482dd68ec9,0,0.0
mmy251950386,0,0.0
jd_70f86d27ce3a1,0,0.0
13534934641_p,5,0.0
14284595-801103,0,0.0
jd_439855b1a6d9c,0,0.0
wdHxlqAeVdGuSY,0,0.0
jd_507adc5401416,2,0.0
jd_78a6585b6b5ae,0,0.0
jd_42404003a2969,0,-82.0
jd_6e81358850623,0,0.0
jd_4987611bd85c8,0,0.0
lxdjd2016,0,0.0
120219994,0,0.0
13911362169_p,0,0.0
18358906521_p,0,0.0
jd_40d3e07f8909a,0,0.0
jd_449a38d3b1a11,0,0.0
jd_55f677f534424,0,0.0
jd_48bb5fcb6630c,0,0.0
jd_7b7494f9a9bdf,0,0.0
jd_68cbdfdc65c33,0,0.0
jd_72feb00bc1fb6,0,0.0
wdFJmvMdtPzwoj,0,0.0
jd_7b899ccdad28b,0,0.0
jd_63c771db09f9c,0,0.0
jinyi8813,0,0.0
jd_514aab7ced487,0,0.0
jd_52fcc2a50b23b,0,0.0
jd_5871c760dd4d1,0,0.0
huangtao509,0,0.0
jd_4d67d7448c89b,0,0.0
jd_54fb2efc1ac17,0,0.0
jd_AoeBsRGVOoah,0,0.0
jd_514ffa2dcfd91,0,0.0
jd_5d453951f35d8,0,0.0
zw198512121457,0,0.0
jd_726005a983b81,0,0.0
Li970831,0,0.0
18905627367_p,3,0.0
gh_2010jd,0,0.0
kenfi888,0,0.0
jd_442cdc60ae873,0,-5030.0
镜中流水,0,0.0
jd_53074bceb8add,0,0.0
a262652674,0,0.0
l845622284,0,0.0
jd_61f6e5026778e,0,0.0
jd_7b14a3dc2da93,0,0.0
wushanqian,0,0.0
jd_66b55aebfe801,0,0.0
wdNYJGQGafNCsoZ,0,0.0
jd_55c00a1d90a67,0,0.0
wdbpaUJRgPyhdz,0,0.0
177900867-107933,0,0.0
袁梦竹0517,0,0.0
jd_76c48754b2b13,0,0.0
符平223,2,0.0
a398088080,0,0.0
13607256507_p,0,0.0
wdkUhzrKOXdCbU,0,0.0
jd_5831d2bfc1b27,0,0.0
斜阳异路,0,-25273.0
jd_5e8a2667747fd,0,-22536.0
星仔1314购物地带,0,0.0
jd_48d82e9e658ea,0,0.0
jd_6d0a747737ba1,0,0.0
李祖本,0,0.0
jd_6ebd4578724ee,0,0.0
jd_7448bba785714,0,0.0
jiangchunping86,0,0.0
jd_70fffd03d6fbb,3,0.0
jd_5b405990d3951,7,0.0
15008473770_p,0,0.0
weijx910327,0,0.0
wdgkHWFMZghUhL,3,0.0
jd_76cfff65b2450,0,0.0
jd_510e64d9bab4d,0,0.0
13303937222_p,5,0.0
lvbank090681,0,0.0
219505110-167704,2,0.0
jd_57a92ffa65e5c,0,0.0
25prings,0,0.0
du1172822626,0,0.0
jd_566c80d545d2a,0,0.0
jd_6790a86ef5716,0,0.0
jd_6025a750841d9,9,0.0
jd_7697db0c4e9db,0,0.0
xiao11110000,0,0.0
jd_53fb15a9bfa0b,2,0.0
jd_5c4d0322a9ba5,0,0.0
jd_6bfbfc777ae50,0,0.0
shenbanqini,0,0.0
jd_7609044cc1876,0,0.0
18090586858_p,2,0.0
18665063373_p,0,0.0
jd_47b17f8678a8e,0,0.0
zl210301,0,0.0
jd910_00,0,0.0
jd_481b6a9b83817,1,0.0
jd_5cd6c343b1c27,0,0.0
jd_5badce3799998,0,0.0
卡到闷,0,0.0
小小赖00,0,0.0
jd_7c3af4fc3f4c1,0,0.0
jd_437a201c0af53,0,0.0
zhangyebo,0,0.0
jd_791761460c765,0,0.0
3764952-944430,0,0.0
13631754242_p,0,0.0
jd_521ab020075b7,0,0.0
jd_4608533cb0800,0,0.0
dzk657996022,0,0.0
jd_55ad955fbd778,0,0.0
jd_735fd44398959,0,0.0
jd_5ebf361f8479d,0,0.0
jd_6c4d7061c1bed,0,0.0
WYB00159,0,0.0
jd_5f895b43fdb80,0,0.0
wdVcUiJiXkKNCi,0,0.0
jd_725c7a2b6741c,0,0.0
jd_69f5fce53af52,0,0.0
jd_793472488d804,0,0.0
jd_646a2882bdc6d,0,0.0
jd_lhHtsplNCJoQ,0,0.0
jd_43731d346e2d6,0,0.0
jd_5c24b5ab478bc,0,0.0
jd_4ca31007031f9,0,0.0
pc1574333165,0,0.0
jd_4059c1f600eba,0,0.0
jd_434e4173e02d4,0,0.0
jd_41aec9c63d397,0,0.0
s1250377931317094,0,0.0
亿童好,0,0.0
陈振东110,0,0.0
jd_50b5713cab5ac,0,0.0
jd_4e30fc4fb60cf,2,0.0
qq1031890638,0,0.0
